Stock Number,Model Number,Additional Descriptions
1006176,PL-2080,"Everything about the PL-2080 industrial lathe is powerful, from its hardened slideways to the cast iron base. This engine lathe also includes a Mitutoyo® DRO.

*12 speeds from 20 to 1,500 rpm.
*15 hp motor runs on 220-volt 3-phase power.
*Capable of making metric or standard threads.
*Mitutoyo® 2-axis digital readout (DRO) system helps you obtain precise results.
*Polished ways with integrated wipers move as smoothly as the day they were made for years.
*Square indexing tool post.
*Lathe body is made from the best iron castings to ensure a rigid and stable platform.
*Cast pieces are fully integrated with the head stock, so every joint is tight.
*No assembly required.
*Comes standard with:
*3-jaw universal chuck (12”).
*10” back plate.
*Micrometer saddle stop.
*Steady rest and follow rest.
*Longitudinal rapid traverse.
*Headstock chuck guard with automatic safety switch.
*Coolant system with rear splash guard.
*Halogen work light.
*Emergency foot brake.
*Covered by a 1-year parts warranty.
*Replacement parts are in stock for fast shipping from our Wisconsin headquarters.
*We include lifetime technical support by phone from our team of reps with hands-on metalworking experience.

Questions? Not sure what’s the best metal lathe for you? Call us at 1-920-684-4990 and talk to a friendly Baileigh expert."
1008136,VM-1054-3,"Table size is very important when deciding which milling machine to buy.  The VM-1054 from Baileigh Industrial has a 10” x 54” table that has been hardened, ground, polished, and coated with a special coating called Turcite® B to extend life and help eliminate corrosion.
The VM-1054 is a variable speed milling machine that is powered by a Yaskawa® inverter.  This inverter is powered by 220 volts of three phase power.  Inverters are great for milling machines because of their ability to be adjusted to any speed desired between 80 and 3800 rpm.  By selecting the right speed tooling life is lengthened and cut quality improves, both of which save money.  Baileigh Industrial selected an NT 40 taper for its spindle to help improve performance as well.  A larger spindle is stronger and has tighter tolerances over a longer period of time.  Rigidity is also very important on a mill that is why Baileigh Industrial went with only the best castings to make the base and frame.  The stronger you make he platform the better the cutting is.
All three axis are powered on the VM-1054 making it easy on the operator.  Another nice feature of the VM-1054 milling machine is the two axis digital readout that comes standard.  This Mitutoyo® digital readout is accurate to 1/10 of 1 thousandth of an inch.  A flood coolant system, air draw bar, and central lubrication system are all factory installed on the VM-1054.
To learn more about the VM-1054 milling machine call a Baileigh Industrial representative."
1008169,VM-1258-3,"When you need a vertical knee mill to do a large job, a small wimpy mill won’t do.  You need to step up to the VM-1258 knee milling machine from Baileigh Industrial.  The VM-1258 vertical mill features a whopping 12” x 58” table, one of the largest you will find on any manual mill.  This large oversized table isn’t just mounted on a wimpy machine either.  The whole machine has been built to reflect the size and weight that this table brings.
In order to build a machine this big, rigidity has to come into the equation.  Baileigh industrial uses only best castings as the starting point for their mills.  The stronger you make he platform the better the cutting is.  From there we selected one of the best spindle packages available, with an NT 40 spindle. A larger spindle is stronger and has tighter tolerances over a longer period of time.  In order to spin a heavy duty spindle like that we decide to go with a Yaskawa® inverter powered by a 5hp 220 volt three phase motor.  The inverter lets the operator chose his RPM from 80 to 3800 rpm.  Being able to choose the correct rpm will make for longer lasting tooling and better cuts.
Movement on the three axis are powered to make it easier to operate.  The X and Y axis also has a Mitutoyo® digital read out as a standard feature.  No need to install it yourself, it is already done at the factory.  The X and Y axis also have square slide ways with covers and ball screws for the best movement available.  A flood coolant system, air draw bar, and central lubrication system are all factory installed on the VM-1258 knee milling machine.
To learn more about the VM-1258 vertical knee mill call a Baileigh Industrial representative."
1008192,VM-942-1,"Baileigh  Industrial has a line of vertical milling machines to meet any shops  requirements, whether it is price, size, or power.  The VM-942 vertical milling machine fits into  the price category, but that does not mean that it doesn’t have features to  back it up and make it a great value.
 The VM-942  is a fully variable speed milling machine that allows infinite adjustment to  the speed from 80 to 2700 rpm.  Being  able to fine tune the speed of the quill is important in prolonging tooling  life and saving money.  Speaking of the  quill or spindle Baileigh Industrial has specified a NST-40 spindle taper for  the VM-942.  The larger taper helps  eliminate chatter and run out during the cutting process and make better  cuts.
 The VM-942  has a powerful 3 hp motor that runs on 220 volt single phase power and features  a three axis digital read out.  All three  axis of the VM-942 are powered making this an operators dream.  Other standard features of the Baileigh Industrial vertical mill include a coolant system with catch tray, square slide ways, and a halogen work light.
 To learn  more about the VM-942 vertical milling machine see the specifications chart or  call a sales representative."
1008232,VM-949-1,"When looking for a conventional style knee milling machine, Baileigh Industrial leads the pack in both quality and standard features.  Baileigh Industrial's VM-949 milling machine is no exception and is great for any small to medium size machine shop or fabrication shop.  Like all Baileigh machines, it's packed with tons of standard features that are options on most other brands.
The VM-949 is a fully variable speed through the use of a Yaskawa® inverter drives.  Speeds are adjustable from 60 to 4200 rpm.  Adjustable spindle speeds help prolong tooling life as well as allows some applications that cannot be done on a standard drill press, such as thermal friction drilling.  The VM-949 is available in two different voltages, 220 volt single and three phase, these variances allow the VM-949 to be used in almost any shop.
Rigidity is also very important on a mill that is why Baileigh Industrial went with only the best castings to make the base and frame work out of.  The stronger you make he platform the better the cutting is.  This is not the place to use an inferior process.  To make the VM-949 milling machine even stronger, a NST 40 spindle is standard.  This type spindle is stronger and give the operator a choice of larger tooling should the need arise.
Operation of the VM-949 could not be easier as this milling machine has powered X, Y and Z axis.  The X and Y axis utilizes a Mitutoyo® DRO- digital read out for positioning down to 1/10 of a thousandth of an inch.  Other standard features of the VM-949 milling machine include an air draw bar, coolant system with catch tray.
To learn more about the VM-949 vertical milling machine see the specifications chart or call a sales representative."
1008236,VM-949-3,"When looking for a conventional style knee milling machine, Baileigh Industrial leads the pack in both quality and standard features.  Baileigh Industrial's VM-949 milling machine is no exception and is great for any small to medium size machine shop or fabrication shop.  Like all Baileigh machines, it's packed with tons of standard features that are options on most other brands.
The VM-949 is fully variable speed through the use of a Yaskawa® inverter drives.  Speeds are adjustable from 60 to 4200 rpm.  Adjustable spindle speeds help prolong tooling life as well as allows some applications that cannot be done on a standard drill press, such as thermal friction drilling.  The VM-949 is available in two different voltages, 220 volt single and three phase, these variances allow the VM-949 to be used in almost any shop.
Rigidity is also very important on a mill that is why Baileigh Industrial went with only the best castings to make the base and frame work out of.  The stronger you make the platform the better the cutting is.  This is not the place to use an inferior process.  To make the VM-949 milling machine even stronger, a NST 40 spindle is standard.  This type spindle is stronger and give the operator a choice of larger tooling should the need arise.
Operation of the VM-949 could not be easier as this milling machine has powered X, Y and Z axis.  The X and Y axis utilizes a Mitutoyo® DRO- digital read out for positioning down to 1/10 of a thousandth of an inch.  Other standard features of the VM-949 milling machine include an air draw bar, coolant system with catch tray.
To learn more about the VM-949 vertical milling machine see the specifications chart or call a sales representative."
1008268,VMD-30VS,"To create the VMD-30VS, we expanded the options of our popular DP-1250VS drill press design by adding a large milling table. This variable-speed drilling and milling machine enables you to save space without sacrificing function or versatility.

*Runs on 220 volt single-phase power to accommodate virtually any site in North America.
*1.125” maximum drilling capacity.
*Large 29” x 8” milling table engineered to support the extra load.
*Variable-speed Delta® inverter lets you select any speed from 0 to 2500 rpm. 
*Infinitely adjustable tooling speed prolongs tooling lifespans and saves money.
*Short, sturdy column and full cast iron base reduce vibrations, increase accuracy, and won’t buckle under maximum capacity stresses.
*Drill base stores a flood coolant system to prevent overheating and to increase tooling life further.
*You can count on Baileigh for a 1-year warranty and unlimited technical support by phone throughout the machine’s potential decades of use.

Recommended for: Fabrication shops, garages, and schools, especially those working in tight spaces.
Questions? Please give us a call at 1-920-684-4990."
1008627,DDTM-5922,"Whether it is before or after, often at welding workstations grinding on the work piece has to be done.  But this is a messy proposition for most shops.  The DDTM-5922 downdraft grinding table from Baileigh Industrial can help.  This easy to use down draft table takes all the little partials that float around the shop and pull them straight down into a contained unit and also help to clean the air. 
What is unique about the DDTM-5922 metal working downdraft table is that it is a self-contained unit and there is no need to hook it up to external extraction systems.  It operates on 110 volt power and has two .5hp motors that produce 1790 CFM per motor.  That is a lot of sucking power to keep the area clean.  The filters are also fire resistant on this grinding station making it very safe as well

*59"" x 22"" downdraft table
*3 mm thick stainless steelwork surface
*Perfect for grinding and sanding
*Dual motors 1790 CFM per motor
*Fire resistant air filters
*Easy clean out chip compartments
*110V

Contact a representative today to find out more about the DDTM-5922 metal grinding downdraft table from Baileigh industrial ."
1013601,BS-700SA-A,"This semi-automatic band saw can can cut large stock all day long. A roller table takes the effort out of moving materials. The steel frame reduces vibrations and ensures accuracy.

*27.5” round cutting capacity.
*Accepts a standard 2.126” blade (included).
*65 to 279 fpm variable speed.
*Inverter-driven speed system is infinitely adjustable. You can fine-tune it to fit a given material.
*Mighty 10 hp motor runs on 220-volt 3-phase power.
*Hydraulic clamping vise and automatic return save you time during production runs.
*Rigid cast iron bow helps the saw make cuts clean, high-quality cuts.
*Hydraulic carbide blade guide system keeps the blade straight with hydraulic pressure behind the guides.
*Patented hydraulic blade tension device allows you to set the tension easily. Just line the black arrow up within the liquid-filled gauge.
*Includes a 2-meter roller table with a rack and pinion conveyor to move the heavy stock.
*Fully-welded steel construction adds to the saw’s structural strength.
*Comes with a powered wire chip brush for longer blade life and an automatic chip removal conveyor to keep the machine neat.
*We keep most replacement parts in stock for fast shipments.
*Covered by a 1-year parts warranty.
*Our team of experienced reps are here to provide lifetime technical support by phone. Call us up whenever you need troubleshooting or project advice.

Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1016602,CM-060PR,"Baileigh Industrial is known for having some of the best plate beveling machines.  The CM-060PR portable pipe & plate beveler continues this tradition.  The Electric Beveler CM-60PR comes with an AC induction motor which offers longer durability and lower noise, as well as its high torque.  The milling angle on the CM-060PR is adjustable progressively from 0° to 60° with a maximum land width of 7/8"" and the zero degree setting is perfect for facing off.  The CM-060PR also features a milling blade that has 12 replaceable carbide inserts.
The CM-060PR includes a two-in-one base plate that allows both standard beveling and pipe beveling from 150mm up to 350mm. It is a very quick conversion: all that is needed is to reposition the rollers.  There is also a base plate for beveling larger diameter pipes from 6"" to 13-3/4"" that come standard. The CM-060PR has a compact design that allows for easy handling and convenient operation.  Also included is a rolling case to allow for easy transport.
Features of the CM-060PR

*Powerful 1.5hp AC motor
*Incredibly silent while running.
*The beveling angle adjustable from 0 to 60 degrees
*
Maximum bevel is 3/4""@45°

*12 insert carbide milling blade
*Pipe Beveling plate included
*Light weight design disctates that only one person is necessary for operation.
*Includes a rolling case to allow for easy transport.
*110V 

To find out more about the CM-060PR plate beveling machine from Baileigh Industrial contact a representative today.
 "
1017066,MDC-1800-1.0,"The MDC-1800 metal dust collector from Baileigh Industrial is great for collecting chips and burs.  A metal dust collector helps keep your shop as clean as possible.  Operation is simple, the heavy chips and larger dust particles collect into a metal drawer that is easy to clean and move around with its integrated casters, next there is a fireproof bag that helps collect any of the larger particles in the air. Lastly there is a fireproof filter that rids the expelled air of additional particles.  
The MDC-1800 metal dust collector has a 3hp motor that runs on 220V single phase power.  This robust motor produces 1450 CFM.  It is also very quite and operates at 85dB at full power.  Other features include three 4” chutes which allow you to attach different machines, and portable casters on the main body allows for use throughout your shop. 
 

*Dust collector designed for metal working
*Cyclone style 1450 CFM
*Quiet
*Easily removable chip tray
*Portable
*220V single phase
*Not to be used with Surface Grinders

 
Contact a representative today to find out more about the MDC-1800 dust collector for metal from Baileigh industrial."
1017555,CM-6-1.0,"Looking to add a chamfered edge to sheet material without breaking the bank? Look no further than this plate beveler.

*1.5 hp motor runs on 110-volt single-phase power.
*Puts up to 6mm chamfer on any edge.
*Adjustable bevel angle, from 14° up to 45°.
*5-blade cutting wheel provides a smooth finish. 
*2 precision machined tables keep the material perfectly in line.
*Mounts easily to any bench top, saving space in your shop.
*Kept in stock for fast shipments.
*Backed by a 1-year parts warranty as well as lifetime technical support.

Call us at 1-920-684-4990 with any questions you have about this chamfering machine for sale."
1017589,DDTM-4840-HD,"Downdraft tables are becoming more popular with all of the air quality regulations that are now in place.  The Heavy Duty Downdraft Table DDTM-4840-HD is the perfect table for small shop tht has a need for a production table.  This easy to use down draft table takes all the little partials that float around the shop and pull them straight down into a contained unit and also help to clean the air.   The DDTM-4840-HD has a list of features that make it one of the best tables on the market.

*48"" x 40"" Working area
*Standard equipment included: HEPA filter, fire resistant cartridge filter, spark arresting metallic pre-filter, magnehelic gauge, hinged side walls w/ back wall, work light, auxiliary 110V and air tool outlets, 12” overhang, casters and leveling feet.  These are all options other companies charge for, but come standard with Baileig
*CSAus listed
*100% Tool free cleaning and filter maintenance/changes
*Air pulse cleaning – When flow is restricted, simply shut the machine off, and press the air pulse button (requires 60-90psi air connection).  An internal air tank automatically backflushes the cartridge filter, knocking off accumulated dust and debris (he debris falls into a removable pan for easy cleanout).  The table can now be turned on and work resumed 
*Safety – Under OSHA decibel limit (hearing protection not required).  HEPA filter is now required by OSHA for equipment that vents back into occupied space (HEPA is standard on these models)
*Fully Assembled – Simply uncrate, wire, and begin use

 

-Table Load Capacity – 
Maximum 1543lbs (700kgs) Evenly distributed over 80% - 100% of table surface.
Concentrated Contact Surface Contact Weight
10% 192lbs (87kgs)
20% 384lbs (174kgs)
30% 575lbs (261kgs)
40% 767lbs (348kgs)
50% 959lbs (435kgs)
60% 1151lbs (522kgs)
70% 1343lbs (609kgs)
80% 1543lbs (700kgs)
 

For More infromation on the DDTM-4840-HD contact a Baileigh representative today at 920-684-4990"
1017590,DDTM-8052-HD,"Downdraft tables are becoming more popular with all of the air quality regulations that are now in place.  The Heavy Duty Downdraft Table DDTM-8052-HD is the perfect table for large manufactureing facility has a need for a clean production.  This easy to use down draft table takes all the little partials that float around the shop and pull them straight down into a contained unit and also help to clean the air.   The DDTM-8052-HD has a list of features that make it one of the best tables on the market.

*78"" x 52"" Working area
*Standard equipment included: HEPA filter, fire resistant cartridge filter, spark arresting metallic pre-filter, magnehelic gauge, hinged side walls w/ back wall, work light, auxiliary 110V and air tool outlets, 12” overhang, casters and leveling feet.  These are all options other companies charge for, but come standard with Baileig
*CSAus listed
*100% Tool free cleaning and filter maintenance/changes
*Air pulse cleaning – When flow is restricted, simply shut the machine off, and press the air pulse button (requires 60-90psi air connection).  An internal air tank automatically backflushes the cartridge filter, knocking off accumulated dust and debris (he debris falls into a removable pan for easy cleanout).  The table can now be turned on and work resumed 
*Safety – Under OSHA decibel limit (hearing protection not required).  HEPA filter is now required by OSHA for equipment that vents back into occupied space (HEPA is standard on these models)
*Fully Assembled – Simply uncrate, wire, and begin use


-Table Load Capacity – 
Maximum 1764lbs (800kgs) Evenly distributed over 80% - 100% of table surface.
 Concentrated Contact Surface Contact Weight
10% 221lbs (100gs)
20% 441lbs (200kgs)
30% 661lbs (300kgs)
40% 882lbs (400kgs)
50% 1102lbs (500kgs)
60% 1323lbs (600kgs)
70% 1543lbs (700kgs)
80% 1764lbs (800kgs)

 
For More infromation on the DDTM-8052-HD contact a Baileigh representative today at 920-684-4990"
1017595,MDC-3500-HD,"The MDC-3500-HD Heavy Duty Metal Dust Collector from Baileigh Industrial is great for collecting abrasive dust and chips from abrasive finishing and grinding machines.  A metal dust collector helps keep your shop as clean as possible.  Chips and dust collect into a metal drawer that is easy to clean and move around with its integrated casters, and Baileigh has eliminated the cloth bag and replaced it with fire resistant filters that helps eliminate the chanceof a fire.  The MDC-3500-HD Heavy Duty Metal Dust Collector also features a pulse clean filter cartidge system.  
The MDC-3500-HD Heavy Duty Metal Dust Collector has a 5 hp motor that runs on 220V three phase power.  This robust motor produces 2340 CFM.  It is also very quite and operates at 78dB at full power.  

*Heavy duty metalworking dust collector
*5 hp
*2340 CFM
*Pulse clean filter cartridge system
*Fire resistant teflon coated filter
*Magnehelic pressure gauge
*Full steel construction
*HEPA filter standard
*Tool-less filter maintenance
*CSA – U.S. certified
*220V 3 phase

Contact a representative today to find out more about the MDC-3500-HD dust collector for metal from Baileigh industrial."
1017633,MDC-1200-HD,"The MDC-1200-HD Heavy Duty Metal Dust Collector Heavy Duty Metal Dust Collector from Baileigh Industrial is great for collecting abrasive dust and chips from abrasive finishing and grinding machines.  A metal dust collector helps keep your shop as clean as possible.  Chips and dust collect into a metal drawer that is easy to clean and move around with its integrated casters, and Baileigh has eliminated the cloth bag and replaced it with fire resistant filters that helps eliminate the chanceof a fire.  The MDC-1200-HD Heavy Duty Metal Dust Collector also features a pulse clean filter cartidge system.  
The MDC-1200-HD Heavy Duty Metal Dust Collector has a 1.5 hp motor that runs on 110V power, making it perfect for any shop.  This robust motor produces 1100 CFM.  It is also very quite and operates at 78dB at full power.  

*Heavy duty metalworking dust collector
*1.5 hp
*1100 CFM
*Pulse clean filter cartridge system
*Fire resistant teflon coated filter
*Magnehelic pressure gauge
*Full steel construction
*HEPA filter standard
*Tool-less filter maintenance
*CSA – U.S. certified
*110 volt

Contact a representative today to find out more about the MDC-1200-HD dust collector for metal from Baileigh industrial."
1017634,VM-626-1,"Perfect for the small shop or even a garage at your house.  The VM-626-1 vertical mill from Baileigh Industrial is the best choice mill for anyone just getting into machining.  This is a small but powerful machine that can handle just about any job you can throw at it.  The VM-626-1 has an 6” x 26” working table and operates on 110 volt power.
The VM-626-1uses a step pulley system that allows adjustment to the speed from 230 to 2500 rpm.  Being able to tune the speed of the quill is important to prolong the life of the tooling and saving money.  An R8 spindle is standard and having an R8 allows a wide variety of tooling that is readily available in just about any tooling store.   

*6""x 26"" work table
*Compact size
*R8 spindle
*Perfect for milling, drilling, tapping, boring, and reaming
*Headstock can tilt 90 degree
*9 speeds
*110V 

Contact a representative today to find out more about the VM-626-1 vertical milling machine from Baileigh industrial."
1017935,DM-10,"The DM-10 sheet metal deburring machine is a machine that bridges the gap between the grinding/sanding and chamfering line.  It’s primary use is to remove the burrs on the end of material after the material has been cut.  The advantage to this sheet metal edge deburring machine is being able to remove burrs from tube, pipe, square, rectangle, solid, angle, channel, etc., without changing tooling or needing attachments.
This small yet powerfull machine is capable of heavy, constant use.  It features a 2 speed, 3 horsepower motor, 10” wheel (.3/.012” steel wheel included), 4” dust port with dust bag.  other optional deburring wheels are avaiable as an option depending on the material being deburred.
Call us at 1-920-684-4990 with any questions you have about the DM-10 sheet metal deburring machine for sale."
1018561,BS-127P-1.0," 
The BS-127P  portable metal cutting band saw runs on 110-volt power. You can use it almost anywhere. We designed this manual, variable-speed model for small shops and hobbyists.
 

*This manual band saw has a 5” round capacity.
*Accepts standard .5” high x .025” wide x 56.69” long blades.
*Miters 60° to the right.
*Swivel-head miter adjustment (instead of vise adjustment) delivers more accurate cuts and doesn’t compromise the holding power of the vise.
*Variable blade speed from 75 to 246 fpm.
*You can adjust the inverter-driven speed to achieve the best cut possible for a given material and increase blade life.
*Stop rod makes sure that your material will stop at the same length every time to deliver repeatable results.
*Comes standard with adjustable ball bearing blade guides that you can move as close to the material as possible for accurate cuts.
*Electronic trigger handle lets you easily turn the saw on and off.
*Weighs just 56 lbs., so you can transport it to project sites.
*Baileigh covers this metal band saw with a 1-year parts warranty.
*We keep most replacement parts in stock for fast deliveries.
*Includes lifetime technical support by phone. Call us up whenever you run into a problem with the saw or need application advice.


You may also like the Baileigh BS-128m Portable Metal Cutting Band Saw. 

 
Questions about this Baileigh portable band saw? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1019092,BG-248-2,"Designed to last for decades, this compact and economical 2-wheel belt grinder will make quick work of all grinding projects in any shop. The BG-248-2 comes equipped with versatile features—like option of platen, slack, & contact wheel grinding—so you can give a wide variety of projects a superior Baileigh finish.
 


*Runs on 110 volt single-phase power, compatible with practically any fabrication site.
*Platen, slack, & contact wheel grinding accommodate a wide variety of grinding jobs.
*2 fixed wheels diameters.
*Includes an adjustable work rest to match up perfectly with the different contact areas.
*Quick-release handles for fast conversions.
*Built from only top-quality components, like sealed bearings and ground and hardened shafts.
*Pivoting head allows you to tilt the grinder for access on those awkward grinding situations.
*You can count on us for a 1-year warranty and lifetime technical support from our knowledgeable team of reps.


 
Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990and talk to a Baileigh expert."
1019164,DG-500HD,"Based off of the popular DG-500, the DG-500HD takes grinding to a whole new level.  Perfect for those shops that use their grinders for production.  This industrial disc grinder comes with many features not found in other comparable machines.

*Robust 2HP, 1750rpm motor directly coupled to the 20” grinding disc.
*Reversing switch – the grinding disc can be used both clockwise and counter-clockwise.
*Foot Brake – Stops the disc in a few seconds vs a few minutes.  Prevents having to waste material to stop the disc faster.
*4” dust collection port.
*Gas cylinder for easy table lift assist.
*Miter gauge included
*Tilting table – 45° down 15° up
*Swing away disc guard
*220 volt single phase
*We typically keep this 20"" disc grinder and its parts in stock for fast deliveries.
*Covered by a 1-year parts warranty.
*You can count on lifetime technical support by phone.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
Questions? Call us at 1-920-684-4990 and talk to a Baileigh expert."
1020169,DP-1200VS," 
Built to last for years, the DP-1200VS floor drill press is an economical option for any shop. With a 22” swing, this variable-speed drill press will prove an ideal investment for any machinist or fabricator.
 

*2 hp motor runs on just 220 volts of single-phase power.
*Tackles a maximum drilling capacity of 1-1/16” mild steel.
*Heavy duty spindle transfers power to the #3 Morse taper tooling .
*Speed potentiometer dial controls powerful inverter-driven head.
*Variable drilling speed, ranging from 10 to 2250 rpm, lets you choose the right setting to suit your application.
*Digital readout displays actual spindle rpm, ensuring precise results time after time.
*Features an auto-reversing tap function with up to .1/2” capacity.
*Wide column provides extra support and rigidity to reduce flexing even during the toughest drilling sessions.
*Base and 16-3/4” x 19” table are made of a heavy iron casting to increase rigidity.
*Very large .625"" T-slots let a vise or fixture securely hold your material.
*Movable coolant system, with magnetic fixture, sprays out where you need it to extend drill bit and tap lifespan.
*Covered by a 1-year parts warranty and lifetime technical support by phone from Baileigh’s team of experienced reps.
*Need it soon? We keep the DP-1200VS in stock for quick shipments.

 
Questions? Please give us a call at 1-920-684-4990."
1022511,DP-1400VS," 
Built using the finest components, the DP-1400VS floor drill press draws strength from its sturdy base and column that won’t flinch during the heaviest drilling sessions. With a unique table that pivots 360 degrees, this variable-speed drill press will prove an ideal investment for any machinist or fabricator.
 

*2 hp motor runs on just 220 volts of single-phase power.
*Tackles a maximum drilling capacity of 1.25” mild steel.
*Heavy duty spindle transfers power to the #3 Morse taper tooling .
*Speed potentiometer dial controls powerful inverter-driven head.
*Variable drilling speed, ranging from 80 to 2500 rpm, lets you choose the right setting to suit your application.
*Digital readout displays actual spindle rpm, ensuring precise results time after time.
*Features an auto-reversing tap function with up to .625” capacity.
*Wide column provides extra support and rigidity to reduce flexing even during the toughest drilling sessions.
*Base and 25.5""” x 17.75” table are made of a heavy iron casting to increase rigidity.
*Very large .511"" T-slots let a vise or fixture securely hold your material.
*Coolant system, stored in the base, sprays out at the end of the spindle behind the splash and safety guard to extend drill bit and tap lifespan.
*Covered by a 1-year parts warranty and lifetime technical support by phone from Baileigh’s team of experienced reps.
*Need it soon? We keep the DP-1400VS in stock for quick shipments.

 
Questions? Please give us a call at 1-920-684-4990."
1227892,BG-142S,"The BG-142 three wheel belt grinder is a great option for people looking for a 1"" machine at an afforadble price point.  

*3 wheel belt grinder runs on 115 volts single-phase power and will work just about anywhere.
*Accepts a 1” x 42” grinder belt.
*4.75” diameter drive wheel.
*Turns at 5500 fpm.
*Fully sealed ball bearings prevent machine breakdowns.
*Comes standard with adjustable grinding table for precision.
*Belt tension adjuster takes the hassle out of tension changes and belt replacement.
*Solid cast-aluminum structure ensures rigidity and vibration reduction.
*For the safety of the operator, all rotating parts on this grinder are fully covered.
*Baileigh backs this 3 wheel belt grinder with a 1-year warranty and lifetime technical support from our knowledgeable team.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990and talk to a Baileigh expert."
1227893,BG-248S,"The BG-248S Three wheel belt grinder is a great option for people looking for a 2"" belt grinder with great features at an afforadable price point.  

*3 wheel belt grinder runs on 115 volts single-phase power and will work just about anywhere.
*Accepts a 2” x 48” grinder belt.
*5” diameter drive wheel.
*Turns at 6000 fpm.
*Fully sealed ball bearings prevent machine breakdowns.
*Comes standard with adjustable grinding table for precision.
*Belt tension adjuster takes the hassle out of tension changes and belt replacement.
*Solid cast-aluminum structure ensures rigidity and vibration reduction.
*For the safety of the operator, all rotating parts on this grinder are fully covered.
*Baileigh backs this 3 wheel belt grinder with a 1-year warranty and lifetime technical support from our knowledgeable team.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990and talk to a Baileigh expert."
1227894,BG-260S,"The BG-260S three wheel belt grinder is a great machine for production work.  This powerhouse has all of the features that a shop could want at a great price. 

*3 wheel belt grinder runs on 115 volts single-phase power and will work just about anywhere.
*Accepts a 2” x 60” grinder belt.
*7” diameter drive wheel.
*Turns at 8000 fpm.
*Fully sealed ball bearings prevent machine breakdowns.
*Comes standard with adjustable grinding table for precision.
*Belt tension adjuster takes the hassle out of tension changes and belt replacement.
*Solid cast-aluminum structure ensures rigidity and vibration reduction.
*For the safety of the operator, all rotating parts on this grinder are fully covered.
*Baileigh backs this 3 wheel belt grinder with a 1-year warranty and lifetime technical support from our knowledgeable team.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990and talk to a Baileigh expert."
1227895,IGB-8,"The IGB-8 bench grinder is a great machine for home orproduction work.  This small powerhouse has all of the features that a shop could want at a great price. 

*8"" bench grinder runs on 115 volts single-phase power and will work just about anywhere.
*CSA listed and approved
*Accepts 8"" x 1"" x 5/8"" grinding wheels 
*Turns at 3,600 rpm.
*Fully sealed ball bearings prevent machine breakdowns.
*1-1/4” wheel dresser included.
*Comes standard with adjustable tool rests for precision.
*One-piece quick adjusting spark guards.
*Solid cast structure ensures rigidity and vibration reduction.
*For the safety of the operator, an LED work light is included.
*Baileigh backs this 8"" bench grinder with a 1-year warranty and lifetime technical support from our knowledgeable team.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990 and talk to a Baileigh expert."
1227896,IGB-10,"The IGB-10 10"" bench grinder has all of the features that a shop could want at a great price.

*10"" bench grinder runs on 115 volts single-phase power and will work just about anywhere.
*CSA listed and approved
*Accepts 10"" x 1"" x 1"" grinding wheels 
*Turns at 1,800 rpm.
*Fully sealed ball bearings prevent machine breakdowns.
*1-1/4” wheel dresser included.
*Comes standard with adjustable tool rests for precision.
*One-piece quick adjusting spark guards.
*Solid cast structure ensures rigidity and vibration reduction.
*For the safety of the operator, an LED work light is included.
*Baileigh backs this 8"" bench grinder with a 1-year warranty and lifetime technical support from our knowledgeable team.

Recommended for: Smoothing over burrs on metal, chamfering edges for welding, and cleaning up castings, among other uses.
 
Questions? Give us a call at (920) 684-4990 and talk to a Baileigh expert."
1227897,IB-8,"The IB-8 bench buffing machine is a great machine for home or production work.  This small powerhouse has all of the features that a shop could want at a great price. 

*8"" buffer runs on 115 volts single-phase power and will work just about anywhere.
*CSA listed and approved
*Accepts 8"" x 1/2"" x 5/8"" buffing wheels 
*Turns at 3,600 rpm.
*Fully sealed ball bearings prevent machine breakdowns.
*2 extra pairs of flange washers included.
*Comes standard with adjustable spiral and half spriral wheels.
*Solid cast structure ensures rigidity and vibration reduction.
*For the safety of the operator, an LED work light is included.
*Baileigh backs this 8"" poilisher with a 1-year warranty and lifetime technical support from our knowledgeable team.

Questions? Give us a call at (920) 684-4990 and talk to a Baileigh expert."
